kernel,shape_tag,M,N,K,dtype,BM,BN,BK,stages,warps,group_m,flatten,ws,num_sms,ms,tflops
persistent,"n,n,n//8",2048,2048,256,bf16,64,128,64,2,4,8,1,132,1,1.3677120208740234,1.570128517717985
ws,"n,n,n//8",2048,2048,256,bf16,64,128,64,2,8,8,0,0,0,0.016993078706639537,126.37401880336932
persistent,"n,n,n//8",2048,2048,256,bf16,64,128,64,2,8,8,1,132,0,0.0030948148600550163,693.8972911490492
ws,"n,n,n//8",2048,2048,256,bf16,64,128,64,2,8,8,0,0,0,0.017066020179878582,125.83388659835033
persistent,"n,n,n//8",2048,2048,256,bf16,64,128,64,2,8,8,1,132,1,1.203328013420105,1.784620339633257
ws,"n,n,n//8",2048,2048,256,bf16,64,128,64,3,4,8,0,0,0,0.019912347784670797,107.84683309183691
persistent,"n,n,n//8",2048,2048,256,bf16,64,128,64,3,4,8,1,132,0,0.003106055072072996,691.3862111809754
ws,"n,n,n//8",2048,2048,256,bf16,64,128,64,3,4,8,0,0,0,0.019671333429869264,109.16817894709806
persistent,"n,n,n//8",2048,2048,256,bf16,64,128,64,3,4,8,1,132,1,1.3087268556867326,1.6408952247511905
ws,"n,n,n//8",2048,2048,256,bf16,64,128,64,3,8,8,0,0,0,0.02067273557614321,103.8799940187037
persistent,"n,n,n//8",2048,2048,256,bf16,64,128,64,3,8,8,1,132,0,0.0031007706751585555,692.5644857274685
ws,"n,n,n//8",2048,2048,256,bf16,64,128,64,3,8,8,0,0,0,0.020676378964593536,103.86168930630336
persistent,"n,n,n//8",2048,2048,256,bf16,64,128,64,3,8,8,1,132,1,0.9192391104168363,2.3361534813572136
ws,"n,n,n//8",2048,2048,256,bf16,64,128,64,4,4,8,0,0,0,0.019671272867443888,109.16851504582107
persistent,"n,n,n//8",2048,2048,256,bf16,64,128,64,4,4,8,1,132,0,0.0030902400542981924,694.9245399279193
ws,"n,n,n//8",2048,2048,256,bf16,64,128,64,4,4,8,0,0,0,0.01988533339075123,107.99334392848579
persistent,"n,n,n//8",2048,2048,256,bf16,64,128,64,4,4,8,1,132,1,1.0525719970464706,2.040224948056631
ws,"n,n,n//8",2048,2048,256,bf16,64,128,64,4,8,8,0,0,0,0.021084651134388392,101.85056581265994
persistent,"n,n,n//8",2048,2048,256,bf16,64,128,64,4,8,8,1,132,0,0.00310822645474647,690.9032141852626
ws,"n,n,n//8",2048,2048,256,bf16,64,128,64,4,8,8,0,0,0,0.02133066668951263,100.6758803772329
persistent,"n,n,n//8",2048,2048,256,bf16,64,128,64,4,8,8,1,132,1,1.0324319899082184,2.0800243202372175
ws,"n,n,n//8",2048,2048,256,bf16,64,128,64,5,4,8,0,0,0,0.027180190508564312,79.00914628701153
persistent,"n,n,n//8",2048,2048,256,bf16,64,128,64,5,4,8,1,132,0,0.0031036952643522194,691.9118873122382
ws,"n,n,n//8",2048,2048,256,bf16,64,128,64,5,4,8,0,0,0,0.027206831475657025,78.93178042145166
persistent,"n,n,n//8",2048,2048,256,bf16,64,128,64,5,4,8,1,132,1,1.0334720015525818,2.077931133861239
